shipment number,acpt_carrier_cd,acpt_first_response_fg
71899922,WREC,Y
71899419,TJIS,Y
71900703,GMDR,Y
71902024,KMYV,Y
71901080,TJIS,Y
71902041,TJIS,Y
71900146,OBEX,Y
71901571,OBEX,Y
71901030,BHHL,Y
71900077,UAFL,Y
71900710,HJIK,Y
71884267,BPNK,Y
71898523,NULL,NULL
71900707,LROI,Y
71902323,BJTI,Y
71904669,TJIS,Y
71900884,FCFB,Y
71901835,LPUO,Y
71901347,TJIS,Y
71900113,TJIS,Y
71900988,FLSZ,Y
71904042,NBNP,Y
71903121,VOMK,Y
71902286,FLSZ,Y
71904155,TJIS,Y
71902097,UAFL,Y
71902311,LROI,Y
71901782,FCFB,Y
71900324,GXAJ,Y
71902327,GMDR,Y
71902043,LPUO,Y
71890738,BPNK,Y
71897851,MMQA,Y
71901428,VOMK,Y
71899454,TJIS,Y
71900890,TJIS,Y
71900644,RNZD,Y
71902619,SGZW,Y
71900440,CHRE,Y
71903985,TJIS,Y
71900409,TGIT,Y
71903307,BHHL,Y
71900276,QXWP,Y
71900977,FCFB,Y
71902579,LLZY,Y
71900117,TJIS,Y
71900277,TJIS,Y
71899956,TGIT,Y
71902237,LROI,Y
71902287,FLSZ,Y
71901018,GMDR,Y
71900110,FUYI,Y
71900435,LROI,Y
71900469,UAFL,Y
71901480,FLSZ,Y
71903304,ODSX,Y
71892046,BPNK,Y
71900893,URXX,Y
71903301,XIVB,Y
71900842,TJIS,Y
71903802,TJIS,Y
71903008,BPNK,Y
71904649,FLSZ,Y
71903055,UQIN,Y
71903896,FLSZ,Y
71903157,GMDR,Y
71901067,QXWP,Y
71901233,BHHL,Y
71899414,TJIS,Y
71899377,TJIS,Y
71900881,TJIS,Y
71901672,ODSX,Y
71901169,FLSZ,Y
71901130,NBNP,Y
71904488,NEPH,Y
71901313,FLSZ,Y
71884229,BPNK,Y
71904043,HJIK,Y
71902685,LROI,Y
71900209,NEPH,Y
71901179,LRQU,Y
71900549,OCZI,Y
71901688,YFVO,Y
71902437,BPNK,Y
71902047,HJIK,Y
71899569,URXX,Y
71902851,CHRE,Y
71898488,QXWP,Y
71904663,FLSZ,Y
71903080,DNNR,Y
71903090,WREC,Y
71904059,SSAL,Y
71900234,GMDR,Y
71899798,SGZW,Y
71899793,WREC,Y
71900303,UAFL,Y
71904677,TJIS,Y
71898325,FLSZ,Y
71900788,AENM,Y
71900770,NEPH,Y
71900079,UAFL,Y
71900966,QXWP,Y
71901429,VOMK,Y
71900592,NBNP,Y
71904122,GMDR,Y
71854067,LROI,Y
71901541,ODSX,Y
71901904,KMYV,Y
71619016,UAFL,Y
71903666,RLOS,Y
71901632,YQCC,Y
71902526,LROI,Y
71902550,UVJX,Y
71899795,WREC,Y
71900121,CJPF,Y
71900622,LROI,Y
71900488,ZRUH,Y
71900136,TJIS,Y
71900224,NBNP,Y
71903673,LROI,Y
71904229,TJIS,Y
71901663,LROI,Y
71900992,AENM,Y
