shipment number,tndr_carrier_cd,tndr_first_tender_fg,tndr_carrier_type_cd
71899922,WREC,N,P
71899419,TJIS,Y,P
71900703,GMDR,Y,P
71902024,KMYV,Y,P
71901080,TJIS,Y,P
71902041,TJIS,N,P
71900146,OBEX,Y,P
71901571,OBEX,Y,P
71901030,BHHL,Y,N
71900077,UAFL,Y,P
71900710,HJIK,Y,P
71884267,BPNK,N,N
71898523,HJIK,N,P
71900707,LROI,Y,P
71902323,BJTI,Y,P
71904669,TJIS,Y,P
71900884,FCFB,Y,P
71901835,LPUO,Y,P
71901347,TJIS,Y,P
71900113,TJIS,Y,P
71900988,FLSZ,Y,N
71904042,NBNP,Y,P
71903121,VOMK,Y,P
71902286,FLSZ,Y,P
71904155,TJIS,Y,P
71902097,UAFL,Y,P
71902311,LROI,Y,P
71901782,FCFB,Y,P
71900324,GXAJ,Y,P
71902327,GMDR,N,N
71902043,LPUO,Y,P
71890738,BPNK,N,N
71897851,MMQA,N,P
71901428,VOMK,Y,P
71899454,TJIS,Y,P
71900890,TJIS,Y,P
71900644,RNZD,N,P
71902619,SGZW,Y,P
71900440,CHRE,Y,P
71903985,TJIS,Y,P
71900409,TGIT,Y,P
71903307,BHHL,Y,N
71900276,QXWP,Y,P
71900977,FCFB,Y,P
71902579,LLZY,Y,P
71900117,TJIS,Y,P
71900277,TJIS,Y,P
71899956,TGIT,Y,P
71902237,LROI,Y,P
71902287,FLSZ,Y,P
71901018,GMDR,Y,P
71900110,FUYI,Y,P
71900435,LROI,Y,P
71900469,UAFL,Y,P
71901480,FLSZ,Y,P
71903304,ODSX,Y,P
71892046,BPNK,N,N
71900893,URXX,Y,P
71903301,XIVB,N,P
71900842,TJIS,Y,P
71903802,TJIS,N,P
71903008,BPNK,Y,N
71904649,FLSZ,Y,P
71903055,UQIN,N,P
71903896,FLSZ,Y,P
71903157,GMDR,Y,P
71901067,QXWP,N,P
71901233,BHHL,Y,N
71899414,TJIS,Y,P
71899377,TJIS,Y,P
71900881,TJIS,Y,P
71901672,ODSX,Y,P
71901169,FLSZ,Y,P
71901130,NBNP,N,P
71904488,NEPH,Y,P
71901313,FLSZ,Y,P
71884229,BPNK,N,N
71904043,HJIK,Y,P
71902685,LROI,Y,P
71900209,NEPH,N,P
71901179,LRQU,Y,P
71900549,OCZI,Y,P
71901688,YFVO,N,P
71902437,BPNK,Y,P
71902047,HJIK,N,P
71899569,URXX,Y,P
71902851,CHRE,Y,P
71898488,QXWP,N,P
71904663,FLSZ,Y,P
71903080,DNNR,Y,P
71903090,WREC,Y,N
71904059,SSAL,Y,P
71900234,GMDR,Y,P
71899798,SGZW,Y,P
71899793,WREC,N,P
71900303,UAFL,Y,P
71904677,TJIS,Y,P
71898325,FLSZ,Y,P
71900788,AENM,Y,P
71900770,NEPH,Y,P
71900079,UAFL,Y,P
71900966,QXWP,Y,P
71901429,VOMK,Y,P
71900592,NBNP,Y,P
71904122,GMDR,Y,P
71854067,LROI,N,N
71901541,ODSX,Y,P
71901904,KMYV,Y,P
71619016,UAFL,Y,N
71903666,RLOS,Y,P
71901632,YQCC,Y,P
71902526,LROI,Y,P
71902550,UVJX,Y,P
71899795,WREC,N,P
71900121,CJPF,Y,P
71900622,LROI,Y,P
71900488,ZRUH,Y,P
71900136,TJIS,Y,P
71900224,NBNP,Y,P
71903673,LROI,Y,P
71904229,TJIS,Y,P
71901663,LROI,Y,P
